City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,inari,68.906,27.0288,13.88,87,18,5.19,FI,1725859627
284,alice springs,-23.7,133.8833,24.75,27,20,6.69,AU,1725859677
285,rubtsovsk,51.5,81.25,16.64,63,94,2.61,RU,1725859627
286,champerico,14.3,-91.9167,26.28,88,100,4.74,GT,1725859628
287,wickenburg,33.9686,-112.7296,30.55,24,3,0.45,US,1725859628
288,atafu village,-8.5421,-172.5159,28.35,71,7,8.03,TK,1725859677
289,nantucket,41.2835,-70.0995,14.06,72,0,2.57,US,1725859628
290,valadares,41.1474,-7.9812,7.64,97,1,0.45,PT,1725859628
291,antsohihy,-14.8796,47.9875,26.24,46,5,2.61,MG,1725859628
292,al marj,32.488,20.8317,22.36,84,64,0.94,LY,1725859628
293,krusevac,43.58,21.3339,18.65,42,42,2.07,RS,1725859628
294,scarborough,54.2797,-0.4044,12.18,94,100,1.34,GB,1725859628
295,castillos,-34.1667,-53.8333,12.12,98,100,2.03,UY,1725859628
296,la ronge,55.1001,-105.2842,18.14,72,20,1.54,CA,1725859628
297,ishige,36.1167,139.9667,31.71,52,76,3.53,JP,1725859628
298,hasaki,35.7333,140.8333,27.72,76,12,3.38,JP,1725859628
299,nuku'alofa,-21.1333,-175.2,23.19,94,75,5.14,TO,1725859629
300,antsiranana,-12.2787,49.2917,26.42,53,20,9.26,MG,1725859629
301,ciudad bolivar,8.1222,-63.5497,27.36,70,32,2.95,VE,1725859678
302,kununurra,-15.7667,128.7333,34.99,28,75,3.09,AU,1725859629
303,nadi,-17.8,177.4167,26.0,61,40,1.54,FJ,1725859629
304,laguna,38.421,-121.4238,27.76,42,0,0.0,US,1725859629
305,kerikeri,-35.2268,173.9474,16.06,74,96,3.13,NZ,1725859629
306,constantia,44.1833,28.65,17.61,56,0,3.62,RO,1725859629
307,dalandzadgad,43.5708,104.425,13.88,24,0,4.25,MN,1725859629
308,torrington,41.8007,-73.1212,10.66,92,0,2.9,US,1725859629
309,jumla,29.2747,82.1838,22.04,55,5,2.73,NP,1725859629
310,san antonio oeste,-40.7319,-64.9477,13.02,34,63,4.74,AR,1725859679
311,severobaykal'sk,55.65,109.3167,8.4,80,100,3.44,RU,1725859629
312,kone,-21.0595,164.8658,25.81,43,32,2.95,NC,1725859630
313,iskushuban,10.2837,50.23,31.96,36,26,11.07,SO,1725859630
314,boca chica,18.4537,-69.6111,26.06,94,40,2.57,DO,1725859679
315,turkmenbasy,40.0222,52.9552,26.43,13,0,6.17,TM,1725859630
316,mazagao,-0.115,-51.2894,25.23,85,17,2.42,BR,1725859630
317,fernie,49.5,-115.0687,19.18,35,42,1.67,CA,1725859630
318,twante,16.7167,95.9333,28.87,82,100,4.63,MM,1725859630
319,hastings,50.8552,0.5729,15.86,56,76,8.61,GB,1725859630
320,ulysses,37.5814,-101.3552,21.32,38,33,7.41,US,1725859630
